Golfer,Age,Club Type,Handicap,Speed (mph),Launch Angle (°),Push (yds),Carry (yds),Total Spin (rpm),Spin Axis (°)
1,19,Driver,2.3,97,14.5,0.8,228,2500,1.2
2,21,Driver,4.8,91,15.2,2.1,212,2900,-2.5
3,23,Driver,7.1,88,16.1,4.3,201,3200,5.8
4,20,Driver,9.5,84,15.8,-1.9,191,3400,-3.7
5,18,Driver,1.4,101,13.9,0.4,236,2400,0.5
6,25,Driver,12,82,16.9,5.6,185,3600,6.9
7,22,Driver,5.7,90,15,-0.7,210,2950,-1.3
8,24,Driver,10.4,85,16.4,3.8,193,3350,4.4
9,26,Driver,14.1,79,17.3,6.1,177,3900,8.1
10,20,Driver,3.6,95,14.7,1,223,2650,1.9
11,19,Driver,6.5,89,15.5,-2.6,204,3050,-4.2
12,27,Driver,15.7,77,17.8,7,171,4050,9.3
13,18,Driver,0.9,103,13.5,-0.3,242,2250,-0.8
14,22,Driver,8.3,87,15.9,2.9,198,3150,3.5
15,24,Driver,11.2,83,16.6,4.8,188,3500,5.6
16,21,Driver,4.1,93,14.8,0.5,217,2800,1
17,23,Driver,13.8,80,17.1,-5.2,180,3750,-7.5
18,19,Driver,2.8,98,14.2,1.4,231,2450,2.3
19,25,Driver,16.5,76,18,8.2,168,4200,10.6
20,20,Driver,7.6,86,16.2,-3.1,196,3250,-5.1
21,22,Driver,5,92,15.1,2,214,2850,2.8
22,18,Driver,1.8,99,14,-0.9,233,2380,-1.6
23,24,Driver,9.9,84,16.5,3.4,190,3450,4.9
24,26,Driver,17.3,75,18.2,9.5,165,4350,11.8
25,21,Driver,6.2,90,15.3,-1.4,208,3000,-2.9
26,23,Driver,11.8,82,16.8,5,184,3650,6.2
27,20,Driver,3.1,96,14.6,0.7,225,2550,1.5
28,19,Driver,8.7,86,16,-2.3,195,3300,-3.8
29,22,Driver,13,81,17,6.4,182,3800,7.4
30,24,Driver,5.4,91,15.4,1.6,211,2920,2.1
