Golfer ID,Age,Club Type,Handicap,Speed (mph),Launch Angle,Push (yds),Carry (yds),Total Spin (rpm),Spin Axis
WA-1,17,Driver,-1.8,135,11.7,4.9,207,4274,0
WA-2,16,Driver,2.8,123,12.2,7.7,189,2649,13
WA-3,56,Driver,17,84.1,31.4,13,108,4874,17
WA-4,66,Driver,16.8,116,16,-7.2,175,3674,9
WA-5,65,Driver,13,95.9,17.3,2.2,130,4025,2
WA-6,61,Driver,13.5,100,13.1,-1.2,150,3450,10
WA-7,51,Driver,5.3,133,14.7,3.2,214,3250,12
WA-8,51,Driver,4.7,120,16.7,3.1,180,4100,15
WA-9,40,Driver,3.3,116,19.2,5.2,174,4250,11
WA-10,18,Driver,-4.5,133,13.1,11,218,2749,-2
WA-11,17,Driver,7.1,122,11.4,1.2,167,4774,27
WA-12,69,Driver,30.5,104,5.5,-1.7,106,4249,21
WA-13,69,Driver,12.1,96.9,15.5,-8.8,133,1949,6
WA-14,68,Driver,22.9,83.6,19.5,3.9,101,4174,28
WA-15,67,Driver,15.2,93.6,19.7,-0.7,131,2274,21
WA-16,17,Driver,2.6,143,11.3,16,229,2699,-21
WA-17,24,Driver,4.4,141,12.1,5.7,225,3599,-5
WA-18,20,Driver,2.8,138,10.3,4,224,2274,1
WA-19,17,Driver,-0.2,134,15,8.6,215,3350,6
WA-20,54,Driver,1.7,115,14.2,9.6,174,2800,-13
WA-21,66,Driver,22.6,96.7,9.9,7,102,2724,32
WA-22,69,Driver,23.5,98.8,18,7.9,135,4149,20
WA-23,58,Driver,19.4,97.2,13.9,2.5,123,4174,21
WA-24,17,Driver,4.3,141,12.2,2.4,224,3625,-5
WA-25,16,Driver,1.1,144,15.7,5.7,238,2700,-24
WA-26,16,Driver,3.7,127,15.7,1.3,195,3724,17
WA-27,17,Driver,13,106,14.5,7.9,152,2929,0
WA-28,19,Driver,2.4,128,13.6,5.1,201,3474,4
WA-29,19,Driver,5.1,134,12.9,9.6,216,3074,5
WA-30,17,Driver,6.4,124,5.9,4.4,159,4225,18
WA-31,19,Driver,3.3,133,12.8,5.1,206,3250,-20
WA-32,20,Driver,-0.9,128,14.2,6.3,206,2650,-11
WA-33,21,Driver,-4.2,142,15.6,12,239,2899,1
WA-34,35,Driver,17.1,133,0,-4.8,0,2124,59
WA-35,59,Driver,6.1,120,13.1,0.9,175,3949,19
WA-36,57,Driver,9.4,115,14.7,-4.9,169,3625,18
WA-37,59,Driver,17.6,124,9,0.5,161,2074,-31
WA-38,80,Driver,14.1,101,10.7,6.4,114,3424,35
WA-39,60,Driver,7.2,110,15.3,-8.8,149,1049,-36
WA-40,57,Driver,9.4,114,16.5,4.3,169,4199,3
WA-41,59,Driver,17.6,112,10.3,-1.9,142,1899,-27
WA-42,80,Driver,14.1,109,14.4,-5.2,134,950,-46
WA-43,60,Driver,7.2,110,14.1,3.4,149,4649,23
WA-44,15,Driver,-1.9,136,12.5,-3.5,224,2675,3
WA-45,18,Driver,-0.9,142,12.8,10,243,2299,-11
WA-46,18,Driver,-3,136,19.4,10,230,2775,-1
WA-47,18,Driver,-0.9,118,3.6,7.7,99.5,3324,38
WA-48,21,Driver,2.8,138,9.2,5.8,211,2374,-17
WA-49,20,Driver,1.2,132,11.7,1.5,204,3650,6
WA-50,18,Driver,3.1,129,12.5,9.1,186,2349,-38
WA-51,21,Driver,4,125,13.6,5.6,200,2650,0
WA-52,17,Driver,0.2,125,5.7,13,166,4174,-10
WA-53,16,Driver,-2.3,142,12.1,12,231,3325,-3
WA-54,20,Driver,-0.8,140,9.7,7.7,219,2925,-16
WA-55,19,Driver,-3.5,127,12.5,7.7,201,2474,-6
WA-56,19,Driver,-3.5,150,15.6,10,252,3125,3
WA-57,37,Driver,3.5,129,13.2,5.8,201,3174,-15
WA-58,49,Driver,-0.2,129,14.1,9.2,207,2050,5
WA-59,55,Driver,5.2,130,14.7,12,199,4200,12
